"#","Player","Pos","Team","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","AVG","TTL"
"108","Damiere Byrd","WR","FA","-","-","-","0","0","-","13.5","12.7","0","5.8","2.9","-","1.2","-","0","1.5","1.2","0","3.2","38.8"
"109","Rashod Bateman","WR","BAL","11.9","16.8","3.9","1.7","-","-","4.2","0","-","BYE","-","-","-","-","-","-","-","-","6.4","38.5"
"110","A.J. Green","WR","FA","1.3","3.6","0","-","2","0.7","-","0","-","7","5","0.5","-","0.7","0","-","1.7","15.1","2.9","37.6"
"111","Jarvis Landry","WR","FA","11.4","2.5","2.2","2.7","-","-","-","-","-","3.7","9.3","2","1.4","-","0","-","-","-","3.9","35.2"
"112","Michael Thomas","WR","NO","17.7","12.5","4.9","-","-","-","-","-","-","-","-","-","-","BYE","-","-","-","-","11.7","35.1"
"113","Tre'Quan Smith","WR","NO","-","-","10.5","1.8","1","10.3","5.9","0","2.9","0","-","0.8","-","BYE","-","-","-","0.6","3.4","33.8"
"114","Kendall Hinton","WR","FA","-","2","2.7","3.9","-","0.8","1.4","-","-","6.2","5.7","4.8","1.1","3.8","-","-","0","-","2.9","32.4"
"115","Robbie Chosen","WR","MIA","16.2","1.2","1.4","2.6","3.2","-","0","0","-0.4","-","BYE","1.7","-","5","0","-","1.3","-","2.7","32.2"
"116","Phillip Dorsett II","WR","DEN","0","-","1.5","0","0","-","10.5","0.6","6.9","2.2","0","0.5","1.8","1.8","0","4.5","1.4","-","2.1","31.7"
"117","Sammy Watkins","WR","FA","1.8","9.3","-","-","-","-","3.6","0.3","0.9","4.7","0","-","-","-","-","4","-","5.9","3.4","30.5"
"118","Wan'Dale Robinson","WR","NYG","0.5","-","-","-","-","9.7","5","1.5","BYE","1.5","10.4","-","-","-","-","-","-","-","4.8","28.6"
"119","KhaDarel Hodge","WR","ATL","3.8","5.7","-","0","5.3","0","0","-","1.9","9.7","1.3","-","0","BYE","0","0","0.5","-","2.2","28.2"
"120","Dyami Brown","WR","WAS","-","-","0","0.6","22.5","0","-","-","0","1.5","-","1.7","-","BYE","1.5","-","-","0","3.1","27.8"
"121","Ashton Dulin","WR","IND","4.6","8.2","0.7","1.8","1.8","-","-","-","-","-","0","0","7.4","BYE","3","0","-","-","2.8","27.5"
"122","Velus Jones Jr.","WR","CHI","-","-","-","-2","6.9","-0.2","-","3.8","-","-","0","0.6","0.1","BYE","-1.7","5.2","1.3","13","2.5","27"
"123","Byron Pringle","WR","WAS","2.2","0","1.1","-","-","-","-","-","-","1.2","0","7.2","-","BYE","9.9","3.4","0","0.5","2.6","25.5"
"124","Khalil Shakir","WR","BUF","-","0","-","2.3","13.5","1.4","BYE","0","-","0.6","-","-","1","0","-","2.5","-","2.8","2.4","24.1"
"125","Jalen Nailor","WR","MIN","-","-","-","1.3","-","-","BYE","-","-","0","1.5","0","-","0","0","-","14.9","6.2","3","23.9"
"126","Brandon Powell","WR","MIN","1.3","-2","2.7","1.1","0.1","4","BYE","0","0.4","0.7","1.5","0.6","8.4","0","0.7","1.5","0.9","1.7","1.4","23.6"
"127","Amari Rodgers","WR","IND","0","0","0","0","0","1.4","-0.6","2.2","0","-2","-","-","-","12","2.6","3.7","1.6","2.2","1.5","23.1"
"128","River Cracraft","WR","MIA","-","6.2","7.1","0","0","0","-","-","-","-","BYE","5.5","2.9","-","-","-","-","0.5","2.8","22.2"
"129","Marquez Callaway","WR","LV","-","-","6.4","5.3","0.5","3.6","2","1","2.4","-","0.6","-","0","-","-","-","-","0","2.2","21.8"
"130","David Bell","WR","CLE","-","0.6","0.6","3.5","0.6","1.3","0.7","2.7","BYE","2.4","2.2","2.3","0","2.7","-","1.8","0","0","1.4","21.4"
"130","Sterling Shepard","WR","NYG","13.1","3.4","4.9","-","-","-","-","-","BYE","-","-","-","-","-","-","-","-","-","7.1","21.4"
